 "ETL_DATE","BR_CODE","BR_NAME","REGION_CODE","REGION_NAME"
20180329,FO-CN-otoHCM06,Phòng Kinh doanh khu v?c An Giang,,
20180329,AGG050100,B? ph?n Hành chính Qu?n tr?,,
20180329,FO-CN-TTKDCGY01,Ban Giám Đốc,,
20180329,BO-CN-BHA050000,Phòng V?n hành,,
20180329,BO-CN-CT0050000,Phòng V?n hành,,
20180329,BO-CN-GDH050000,Phòng V?n hành,,
20180329,BO-CN-HPG050000,Phòng V?n hành,,
20180329,BO-CN-MDH050000,Phòng V?n hành,,
20180329,BO-CN-PMH050000,Phòng V?n hành,,
20180329,BO-CN-TDO050000,Phòng V?n hành,,
20180329,BO-CN-TSG050000,Phòng V?n hành,,
20180329,FO-CN-TTKDBNH01,Ban Giám d?c,,
20180329,FO-CN-TTKDCHA01,Ban Giám d?c,,
20180329,FO-CN-TTKDCLG04,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-TTKDHKM02,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-TTKDNAN01,Ban Giám d?c,,
20180329,FO-CN-TTKDQ303,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-TTKDTHU01,Ban Giám d?c,,
20180329,FO-CN-TTKDVIH04,Phòng Khách hàng Doanh nghi?p,,
20180329,BO-CN-TTKDCGY02,Phòng V?n hành,,
20180329,BO-CN-TTKDMDH05,Phòng V?n hành,,
20180329,BO-CN-TTKDTHU02,Phòng V?n hành,,
20180329,BO-DT010200,B? ph?n H? tr? Chi nhánh,,
20180329,BO-HO-BKS010600,Phòng Ki?m toán D?ch v? Khách hàng và Kho qu?,,
20180329,BO-HO-CNT000000,Kh?i Công ngh? Thông tin,,
20180329,BO-HO-HRBPPN,Phòng Ð?i tác Nhân s? phía Nam,,
20180329,BO-HO-KCN110300,B? ph?n B?o hi?m,,
20180329,BO-HO-KCN220200,M?ng Kinh doanh,,
20180329,BO-HO-KDN170000,Trung tâm Khách hàng Doanh nghi?p mi?n B?c,,
20180329,BO-HO-NNL050000,Phòng Ðào t?o và Phát tri?n ngu?n nhân l?c,,
20180329,BO-HO-PNSCN,Phòng Nhân s? Ch?c nang,,
20180329,CNT14000,Phòng Phát tri?n Ngân hàng s?,,
20180329,DNG050100,B? ph?n Hành chính Qu?n tr?,,
20180329,FO-CN-BCH020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-BDG020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-BHA020000,Phòng D?ch v? khách hàng,,
20180329,FO-CN-BT010000,Ban Giám d?c,,
20180329,FO-CN-CHA010000,Ban Giám d?c,,
20180329,FO-CN-CLG010000,Ban Giám d?c,,
20180329,FO-CN-CTG010000,Ban Giám d?c,,
20180329,FO-CN-DAN01,Ban Giám d?c,,
20180329,FO-CN-DDO010000,Ban Giám d?c,,
20180329,FO-CN-DNG020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-DO010000,Ban Giám d?c,,
20180329,FO-CN-GDH030000,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-HCM030000,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-HKM030000,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-TXN020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-XLA030000,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-otoHN02,Phòng Kinh doanh khu v?c Long Biên,,
20180329,BO -CN-DAN05,Phòng V?n hành,,
20180329,BO-CN-BTA050000,Phòng V?n hành,,
20180329,BO-CN-DDA050000,Phòng V?n hành,,
20180329,BO-CN-HCM050000,Phòng V?n hành,,
20180329,BO-CN-HVG050000,Phòng V?n hành,,
20180329,BO-CN-NGA050000,Phòng V?n hành,,
20180329,BO-CN-Q4050000,Phòng V?n hành,,
20180329,BO-CN-THC010000,Ban Giám d?c,,
20180329,BO-CN-TTI050000,Phòng V?n hành,,
20180329,BO-CN-TTKDCTO05,Phòng V?n hành,,
20180329,BO-CN-TTKDQ302,Phòng V?n hành,,
20180329,BO-CN-XLA050000,Phòng V?n hành,,
20180329,BO-HO-BKS010000,Trung tâm Ki?m toán n?i b?,,
20180329,BO-HO-BTT010000,Ban Giám d?c,,
20180329,BO-HO-HRBPBTT,Phòng Ð?i tác Nhân s? Kh?i Bán tr?c ti?p,,
20180329,BO-HO-KCN050000,Phòng sản phẩm tài khoản và huy động,,
20180329,BO-HO-KCN160000,Phòng Collection,,
20180329,BO-HO-KDN010000,Ban Giám d?c,,
20180329,BO-HO-KNV040000,"Trung tâm Kinh doanh Ngo?i h?i, Vàng và S?n ph?m Phái sinh",,
20180329,BO-HO-PC070000,Phòng Pháp ch?,,
20180329,BO-HO-PRM070000,"Nhóm Marketing cho Corporate Banking (CB), Chi nhánh, các Kh?i h?i s? và Corporate Branding",,
20180329,CNT18000,Phòng An ninh Thông tin và Tuân th?,,
20180329,FO-CN-AGG020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-BCT010000,Ban Giám d?c,,
20180329,FO-CN-BDI010000,Ban Giám d?c,,
20180329,FO-CN-BNH01,Ban Giám d?c,,
20180329,FO-CN-BTH010000,Ban Giám d?c,,
20180329,FO-CN-CLE020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-CPA020000,Phòng D?ch v? khách hàng,,
20180329,FO-CN-CTO020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-DDA020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-DLK020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-DNI010000,Ban Giám d?c,,
20180329,FO-CN-DOT040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-HBT040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-HGM040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-HMI040000,Phòng Khách hàng Doanh nghi?p,,
20180329,BO-HO-VHH-CA.CB,B? ph?n H? tr? tín d?ng KHDN L?n,,
20180329,BO-HO-VHH160000,Trung tâm H? tr? Tín d?ng,,
20180329,FO-CN-HMN030000,Phòng Khách hàng Cá nhân,,
20180329,BO-HO-VHH110000,Van phòng,,
20180329,BO-HO-VHH160800,Phòng H? tr? tín d?ng Ngân hàng Cá nhân Tín ch?p và Th? mi?n B?c,,
20180329,BO-HO-VHH180102,B? ph?n Ki?m soát Van b?n,,
20180329,CNT070300,Nhóm V?n hành,,
20180329,FO-CN-HTH020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-KD.HTH01,Ban Giám d?c,,
20180329,FO-CN-LBN040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-LNH040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-NDH030000,Phòng Khách hàng cá nhân,,
20180329,FO-CN-NHN040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-NTG040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-PHG040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-Q4010000,Ban Giám d?c,,
20180329,FO-CN-SGN010000,Ban Giám d?c,,
20180329,FO-CN-TBH010000,Ban Giám d?c,,
20180329,FO-CN-TH040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-THN020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-TLG010000,Ban Giám d?c,,
20180329,FO-CN-TT.BTAH03,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-TTKDBHA01,Ban Giám d?c,,
20180329,FO-CN-TTKDBTH03,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-TTKDCLE01,Ban Giám d?c,,
20180329,FO-CN-TTKDCTO04,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-TTKDHSO02,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-TTKDNAN03,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-TTKDQ301,Ban Giám d?c,,
20180329,FO-CN-TTKDTAN04,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-TTKDotoHN000000,Trung tâm Kinh doanh S?n ph?m ô tô TP. Hà N?i,,
20180329,FO-CN-TXN010000,Ban Giám d?c,,
20180329,FO-CN-XLA020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-otoHN01,Phòng Kinh doanh khu v?c Trung Hòa Nhân Chính,,
20180329,FO-DT020000,Trung tâm Khách hàng Doanh nghi?p l?n mi?n B?c,,
20180329,FO-HO-BTT080000,Trung tâm Bán mi?n Trung,,
20180329,FO-HO-BTT190000,Trung tâm bán Thanh Hóa,,
20180329,FO-HO-KDSPDB01,Ban Giám d?c,,
20180329,FO-HO-KNV031000,B? ph?n Quan h? ÐCTC và Phát tri?n h?p tác qu?c t?,,
20180329,FO-HO-KNV080000,Phòng Kinh doanh Vàng và Ngo?i t? m?t,,
20180329,HKM050200,B? ph?n H? tr? Tín d?ng,,
20180329,LSLevel2Code,Level2VN,,
